FR	from
PK	__future__
IM	import
FC	print_function
ID	choices
AO	=
AA	[]
LP	for
ID	x
IN	in
RG	range
LB	(
IN	0
FA	,
IN	9
RB	)
SC	]
ID	choices
DO	.
ID	append
LB	(
KW	str
LB	(
ID	x
PO	+
IN	1
RB	)
RB	)
ID	playerOneTurn
AO	=
TR	True
ID	winner
AO	=
FL	False
DF	def
ID	printBoard
LB	(
RB	)
SC	]
PR	print
LB	(
ST	'\n -----'
RB	)
PR	print
LB	(
ST	'|'
PO	+
ID	choices
LS	[
IN	0
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	1
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	2
RS	]
PO	+
ST	'|'
RB	)
PR	print
LB	(
ST	' -----'
RB	)
PR	print
LB	(
ST	'|'
PO	+
ID	choices
LS	[
IN	3
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	4
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	5
RS	]
PO	+
ST	'|'
RB	)
PR	print
LB	(
ST	' -----'
RB	)
PR	print
LB	(
ST	'|'
PO	+
ID	choices
LS	[
IN	6
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	7
RS	]
PO	+
ST	'|'
PO	+
ID	choices
LS	[
IN	8
RS	]
PO	+
ST	'|'
RB	)
PR	print
LB	(
ST	' -----\n'
RB	)
LP	while
NT	not
ID	winner
SC	]
ID	printBoard
LB	(
RB	)
IF	if
ID	playerOneTurn
SC	]
PR	print
LB	(
ST	"Player 1:"
RB	)
EI	else
SC	]
PR	print
LB	(
ST	"Player 2:"
RB	)
TY	try
SC	]
ID	choice
AO	=
KW	int
LB	(
ID	input
LB	(
ST	">> "
RB	)
RB	)
ID	except
SC	]
PR	print
LB	(
ST	"please enter a valid field"
RB	)
CN	continue
IF	if
ID	choices
LS	[
ID	choice
MO	-
IN	1
RS	]
EQ	==
ST	'X'
OR	or
ID	choices
LS	[
ID	choice
MO	-
IN	1
RS	]
EQ	==
ST	'O'
SC	]
PR	print
LB	(
ST	"illegal move, plase try again"
RB	)
CN	continue
IF	if
ID	playerOneTurn
SC	]
ID	choices
LS	[
ID	choice
MO	-
IN	1
RS	]
AO	=
ST	'X'
EI	else
SC	]
ID	choices
LS	[
ID	choice
MO	-
IN	1
RS	]
AO	=
ST	'O'
ID	playerOneTurn
AO	=
NT	not
ID	playerOneTurn
LP	for
ID	x
IN	in
RG	range
LB	(
IN	0
FA	,
IN	3
RB	)
SC	]
ID	y
AO	=
ID	x
MB	*
IN	3
IF	if
LB	(
ID	choices
LS	[
ID	y
RS	]
EQ	==
ID	choices
LS	[
LB	(
ID	y
PO	+
IN	1
RB	)
RS	]
AD	and
ID	choices
LS	[
ID	y
RS	]
EQ	==
ID	choices
LS	[
LB	(
ID	y
PO	+
IN	2
RB	)
RS	]
RB	)
SC	]
ID	winner
AO	=
TR	True
ID	printBoard
LB	(
RB	)
IF	if
LB	(
ID	choices
LS	[
ID	x
RS	]
EQ	==
ID	choices
LS	[
LB	(
ID	x
PO	+
IN	3
RB	)
RS	]
AD	and
ID	choices
LS	[
ID	x
RS	]
EQ	==
ID	choices
LS	[
LB	(
ID	x
PO	+
IN	6
RB	)
RS	]
RB	)
SC	]
ID	winner
AO	=
TR	True
ID	printBoard
LB	(
RB	)
IF	if
LB	(
LB	(
ID	choices
LS	[
IN	0
RS	]
EQ	==
ID	choices
LS	[
IN	4
RS	]
AD	and
ID	choices
LS	[
IN	0
RS	]
EQ	==
ID	choices
LS	[
IN	8
RS	]
RB	)
OR	or
LB	(
ID	choices
LS	[
IN	2
RS	]
EQ	==
ID	choices
LS	[
IN	4
RS	]
AD	and
ID	choices
LS	[
IN	4
RS	]
EQ	==
ID	choices
LS	[
IN	6
RS	]
RB	)
RB	)
SC	]
ID	winner
AO	=
TR	True
ID	printBoard
LB	(
RB	)
PR	print
LB	(
ST	"Player "
PO	+
KW	str
LB	(
KW	int
LB	(
ID	playerOneTurn
PO	+
IN	1
RB	)
RB	)
PO	+
ST	" wins!\n"
RB	)
